Sl No,Rule ID,Rule Description,Coverage,Notes
37,RJZQCP,RME coherent devices protect Realm state on reset or power transitions.,cda_rjzqcp_reset_transition,
38,RHDXTM,A TDI entering CONFIG_UNLOCKED scrubs all associated DCM contents.,Planned,
39,RKRCWK,"An access from a PE to any memory location, including to DCM, is subject to host-side GPC.",cda_rkrcwk_host_side_gpc,
40,RQRMSC,DCM access follows host-side GPC or device-side PAS checks based on PAS_CHECK.,Planned,
41,RWWBPM,An RME-CDA coherent device does not permit an internal access to DCM to specify Access PAS == Realm if the access is not from a TDI in the RUN TDISP state.,Planned,
42,RFZBMW,An RME-CDA coherent device does not permit an external access to DCM to specify Access PAS == Realm if the access did not arrive over an IDE Stream provisioned through TDISP.,Planned,
43,RKNZGC,Device-side PAS checks block speculative access to read-sensitive locations until complete.,Planned,
44,RVHZCR,"If PAS_CHECK == TRUE, device-side PAS protection checks apply both to internal access and external access to DCM.",Planned,
45,RSTQHS,Hosts forward snoops to coherent devices only when the device is permitted to observe the location.,Planned,
46,RHTTNB,Host ports return poison/fixed data when blocked snoops might otherwise expose dirty device-owned data.,Planned,
47,RYDSYL,RME-CDA devices set CHI SEC_SID and RID correctly for TDI device-to-host requests.,Planned,
48,RSKJNK,RME-CDA device-to-host PAs are obtained through ATS or an equivalent host translation protocol.,Planned,
49,RYJVJR,An SMMU in an RME-CDA system supports populating the TE Memory Attribute bit (TE bit) in ATS Translation completions with the resolved PA space.,Planned,
50,RFRFJG,An RME-CDA coherent device guarantees that a TDI can generate device-to-host snoop requests only to PAs that it is allowed to directly access.,Planned,
51,RNSMGT,A host port must be able to identify that a PA of a device-to-host access falls within the DCM range of the coherent device attached to that port.,Planned,
52,RSHSXK,Host ports apply GPC and Realm DPT checks to relevant device-to-host PA requests.,Planned,
53,RDMSPT,Host ports check device-to-host Requester IDs against the permitted RID range.,Planned,
54,RJSYPS,Host ports apply DCM range handling for device-to-host snoop requests and skip GPC/DPT for them.,Planned,
55,RHVCNR,Devices handle blocked insecure snoops consistently with receiving poisoned snoop responses.,Planned,
56,RZTQYT,RME-CDA coherent devices must not send DVM CHI requests.,Not covered,Requires CHI/C2C opcode trace visibility; ACS cannot prove absence from software.
57,RDRVTK,Device-to-host traffic uses only MECIDs permitted for the device.,Planned,
58,RJSDVG,All structures and fields defined by this specification use little-endian convention.,cxl_rjsdvg_little_endian,
59,RCSSDG,MSD SMEM is in the Root PAS.,"rme_msd_smem_in_root_after_reset, rme_msd_smem_in_root_pas",
60,RSPLKT,The address ranges of MSD SMEM are either defined statically or defined by SSD following an RME system reset.,Not covered,MSD SMEM address definition is platform/SSD policy.
61,RNXJLB,On an RME system reset MSD SMEM is either immediately assigned to the Root PAS or scrubbed and is available for access by the PE boot ROM as soon as it starts executing.,rme_msd_smem_in_root_pas,
62,RCMMCZ,RMSD SMEM is in the Realm PAS.,rme_realm_smem_in_realm_pas,
63,RZVQGS,The address ranges of SMEM assigned to the Realm PAS and Secure PAS are either defined statically or by SSD or MSD.,Not covered,SMEM address definition is platform/SSD/MSD policy.
64,RZQQSQ,SMEM that can be dynamically assigned to the Realm PAS or the Secure PAS is either immediately assigned to the Root PAS or scrubbed on an RME system reset.,"rme_realm_smem_behaviour_after_reset, rme_realm_smem_in_realm_pas",
65,RZCJHY,The access control path that protects SMEM is not affected by state from non-shielded memory.,Not covered,SMEM protection path details are implementation-specific.
66,RGSRPS,All A-profile application PEs in the system implement the Realm Management Extension (RME).,rme_support_in_pe,
67,RNJRPC,"An SMMU in an RME system complies with SMMU for RME [3] and, if the system supports RME-DA or MEC, with SMMU for RME-DA.","da_smmu_implementation, smmu_implements_rme",
68,RPXDQJ,"In a system that supports RME-DA, any access from a TDISP-compliant device is subject to SMMU translation.",Planned,
69,RXBKYB,All bus and interconnect decoding components between the point where the Access PAS is assigned and the PoPA are PAS tag-aware.,Not covered,Bus/interconnect PAS-awareness is covered indirectly by access behavior.
70,RXTSXB,An RME coherent interconnect supports cache maintenance operations to the PoPA in compliance with the Arm A-profile architecture [1].,rme_coherent_interconnect_supports_cmo_popa,
71,RFXQCD,"A PoPA CMO applies to any cache before the PoPA, including system caches that are located beyond the Point of Coherency.",rme_cmo_popa_for_cacheability_shareability,
72,RLCXDB,Completion of a PoPA CMO cleans dirty state beyond PoPA and invalidates cached state before PoPA.,rme_coherent_interconnect_supports_cmo_popa,
73,RCMMDG,"For any cache before the PoPA, cache prefetching across granule-boundary is allowed only after querying the GPC for the PAS association of the next granule.",Not covered,Cache prefetch behavior is not directly software-observable.
74,RPSGCM,A cache maintenance operation performed on a Clean cache entry never results with a write of entry content past the PoPA.,Not covered,Clean-cache writeback behavior is not directly software-observable.
75,RJRJSQ,An RME coherent interconnect complies with a Distributed Virtual Memory (DVM) version that supports Realm Translation Regimes and TLB Invalidate by PA operations.,rme_interconnect_supports_tlbi_pa,
76,RDNFTD,A PA of an access to a PCIe Root Port is associated with a PAS until reaching the Root Port.,da_rootport_tdisp_disabled,
77,RTTPLM,Interconnect registers that control mapping of PAs to PCIe Root Ports are implemented as MSD-Protected registers (MPRs).,da_interconnect_regs_rmsd_protected,
78,RXZTPC,"RME-DA host bridge BDF, ECAM, and memory-range assignments are static or trusted-controlled.",Planned,
79,RKSPKN,Encryption keys or any other confidential memory encryption context that is used by an MPE are stored in registers that are reset to a known default value on an RME system reset.,Not covered,MPE key storage is implementation-defined and not directly observable.
80,RQDPVN,Any PAS other than the Non-secure PAS must have encryption enabled.,rme_encryption_for_all_pas_except_ns,
81,RVSMPS,The decision to enable encryption for the Non-secure PAS is either hardwired or defined at boot and immutable once set.,rme_ns_encryption_is_immutable,
82,RYHXPH,An MPE integrity error is reported as an external abort to a software or hardware agent consuming the error.,Not covered,MPE integrity error delivery depends on implementation-specific error injection.
83,RYJDSJ,Any captured details of an MPE integrity error are only visible to MSD.,Not covered,MPE error capture visibility is implementation-specific.
84,RLPQSN,An MPE property that is reported through the System Properties structure in Root Non-volatile Storage (RNVS) is supported for all external memory ports in the system.,Not covered,RNVS-reported MPE properties are implementation-defined.
85,RSXCFK,A Trusted SCP is an on-chip control processor that is trusted by MSD and can access resources in the Root PAS.,Not covered,Trusted SCP may be non-A-profile trusted hardware.
86,RZHJQJ,A Trusted SCP is a Trusted subsystem and meets the applicable CCA security requirements.,Not covered,Trusted SCP may be non-A-profile trusted hardware.
87,RMZDXV,It is permitted for a Trusted SCP to have a mechanism to bypass a PAS filter that filters its transactions.,Not covered,Trusted SCP may be non-A-profile trusted hardware.
88,RLGXBX,An RME-DA RP sets the TEE-IO Supported bit in the Device Capabilities Register.,da_tee_io_capability,
89,RGRCKL,RME-DA Root Ports support the required Selective IDE Stream features.,da_rootport_ide_features,
90,RBDLXG,An RME-DA RP exposes an IMPLEMENTATION DEFINED IDE key programming interface for the following IDE Key Management (IDE_KM) data objects:; KEY_PROG.; K_SET_GO.; K_SET_STOP.,Not covered,IDE key programming interface is implementation-defined.
91,RVCRRM,An RME-DA RP must support IDE key refresh operations in compliance with [4].,Not covered,IDE key refresh requires implementation-specific software support.
92,RFSFST,RP IDE logic detects when an IDE key set requires refresh and either signals Trusted firmware or makes the stream Insecure.,Not covered,IDE key refresh detection is implementation-defined and not software-observable.
93,RBWFTS,RMSD ensures that Selective IDE Streams are configured such that different streams are assigned RID ranges and address ranges that do not overlap.,Not covered,"IDE stream range allocation is RMSD/RMM policy, not generic ACS behavior."
94,RDVJRV,The RME-DA DVSEC implements the required PCIe register layout.,"da_attribute_rmeda_ctl_registers, da_dvsec_register_config",
95,RXHMDQ,"When TDISP is enabled, security-sensitive RP registers are RMSD write-protect.",da_rootport_write_protect_full_protect_property,
96,RNXJKQ,"When TDISP is enabled, IDE keys, confidential state, and protected payload registers are RMSD full-protect.",da_rootport_write_protect_full_protect_property,
97,RPCRFM,"When TDISP is enabled, protected RP configuration registers are RMSD write-detect.",da_rmsd_write_detect_property,
98,RHCMWC,"When RMEDA_CTL1.TDISP_EN transitions from 1 to 0, all hosted IDE Streams transition to IDE Insecure state.",da_ide_state_tdisp_disable,
99,RRNQNM,"When TDISP is disabled, Root Ports clear/reject protected T-bit or XT-bit traffic.",da_rootport_tdisp_disabled,
100,RNPGJV,The RMEDA_CTL registers are RMSD write-protect by hardware default.,da_ctl_regs_rmsd_write_protect_property,
101,RNWSJB,All RPs in an RME-DA system must implement the RME-DA DVSEC.,da_dvsec_register_config,
102,RYHQQL,Selective IDE register-block lock state controls register protection and stream lock state.,da_selective_ide_register_property,
103,RGKHSZ,RME-DA Root Ports associate outgoing TLPs with IDE streams and set T-bit/XT-bit correctly.,"da_incoming_request_ide_sec_locked, da_rootport_tdisp_disabled",
104,RCFQBW,An RME-DA RP sets the IDE T-bit for an outgoing PCIe Memory Request or Configuration Request based on the request PAS.,"da_ide_tbit_0_for_root_request, da_outgoing_realm_rqst_ide_tbit_1",
105,RSWBSV,"Root Ports set the IDE T-bit on PCIe messages according to DTI, VDM, and message type.",Not covered,PCIe message IDE T-bit requires packet visibility not available to ACS.
106,RCKJMN,PCIe completions set IDE T-bit according to IDE and TDISP rules.,Not covered,PCIe completion IDE T-bit is not software-observable in generic ACS.
107,RDVKPF,Protected outgoing T-bit/XT-bit requests are rejected unless bound to a locked Secure IDE stream.,da_outgoing_request_with_ide_tbit,
108,RKZBHV,"With TDISP enabled, Root Ports allow protected incoming T-bit/XT-bit requests only when permitted.","da_incoming_request_ide_non_sec_unlocked, da_incoming_request_ide_sec_locked",
109,RMYKFH,"Root Ports map incoming requests to SMMU SEC_SID, StreamID, and SubstreamID correctly.",da_incoming_request_ide_sec_locked,
110,RMDPKR,Root Complex P2P completions are returned only from the intended target peer.,da_p2p_btw_2_tdisp_devices,
111,RLMFSV,TDISP-enabled Root Port debug features are disabled unless explicitly authorized.,Not covered,Root Port debug functionality is implementation-defined.
112,RGSTJC,Security-affecting RP reset or state loss transitions hosted IDE streams to Insecure.,da_rmsd_write_detect_property,
113,RMJNLW,Requests that are autonomously initiated by the RP over its host interface are tagged with PAS == Non-secure.,da_autonomous_rootport_request_ns_pas,
114,RPJGJK,Root Ports poison affected TLPs or transition IDE streams to Insecure on integrity errors.,da_ide_state_rootport_error,
115,RMJSFF,"An RME system must not include an SMMU that supports the XT extensions, unless all RPs either support the XT extensions or override the XT-bit to 0 for incoming requests.",Planned,
116,RJXRNG,TDISP XT-capable Root Ports set XT-bit behavior according to XT enablement and traffic type.,Planned,
117,RGBVTS,"As a completer of memory requests, a TDISP-compliant RCiEP extracts the request IDE T-bit from the request PAS.","da_ide_tbit_0_for_root_request, da_outgoing_realm_rqst_ide_tbit_1",
118,RZJJMZ,"RCiEP requesters set SEC_SID, StreamID, and SubstreamID according to T-bit and requester identity.","da_incoming_request_ide_non_sec_unlocked, da_incoming_request_ide_sec_locked",
119,RQNTYC,The PCIe segment and RIDs that are allocated to an RCiEP are either defined statically or configured using an RMSD write-protect register.,Not covered,PCIe segment/RID ownership is static or RMSD-protected and not generically modifiable.
120,RGBGQX,Exposed CTC coherent links support cryptographic encryption and integrity protection.,cxl_rgbgqx_ctc_link_ide,
121,RDFWKW,A coherent host port that supports RME-CDA implements the Coherent RME-DA DVSEC (RME-CDA DVSEC).,cxl_rplykv_rdfwkw_rme_cda_dvsec,
122,RHMXTF,Coherent host-port system address ranges are controlled by HDM decoders or RMSD-protected registers.,cxl_rhmxtf_host_hdm_decoder,
123,RGVRQC,The RME-CDA DVSEC implements the required PCIe register layout.,cxl_rgvrqc_host_port_coverage,
124,RVSFPJ,"With CDA TDISP enabled, security-sensitive coherent host-port registers are RMSD write-protect.",cxl_host_port_rmsd_write_protect,
125,RPHCGC,"With CDA TDISP enabled, IDE keys, confidential state, and protected payload registers are RMSD full-protect.",cxl_rphcgc_rmsd_full_protect_property,
126,RFDVZC,"When RMECDA_CTL1.TDISP_EN transitions from 1 to 0, all IDE Streams transition to IDE Insecure state.",cxl_rfdvzc_tdisp_disable,
127,RNYCLL,"When CDA TDISP is disabled, Realm device/host memory requests are rejected.",cxl_rnycll_tdisp_disable_reject,
128,RWPGJB,The RMECDA_CTL registers are RMSD write-protect by hardware default.,cxl_rwpgjb_rmsd_write_protect_property,
129,RPLYKV,All host ports in a system that supports Coherent RME-DA implement the RME-CDA DVSEC.,cxl_rplykv_rdfwkw_rme_cda_dvsec,
130,RDHNWR,Coherent Link IDE lock state controls register protection and stream lock state.,cxl_rdhwnr_link_stream_lock,
131,RWYVCQ,Unlocked coherent link streams reject Realm host-to-device requests.,cxl_rwyvcq_link_unlock_reject,
132,RGTVGZ,"With CDA TDISP enabled, Realm device-to-host requests are permitted only on locked active links or equivalent safe paths.",cxl_rgtvgz_tdisp_enable_link_gate,
133,RXQHNG,Locked CDA host ports reject out-of-range or invalid Requester IDs.,cxl_rxqhng_rid_range_reject,
134,RLQMCY,"In an RME system, if a Type-3 memory expansion device does not support target-side memory encryption then its memory must be encrypted by a host-side MPE.",cxl_rlqmcy_type3_host_mpe,
135,RHCQWS,A host-side MPE shall comply with initiator-based memory encryption requirements specified in CXL-TSP.,cxl_rhcqws_host_side_mpe,
136,RXWJNN,Exposed CXL memory-expansion links use CXL IDE link protection.,cxl_rxwjnn_type3_link_ide,
137,RCNSLJ,Type-3 CXL devices without CXL-TSP are allowed only when host-side protection conditions are met.,cxl_rcnslj_type3_no_tsp,
138,RHHMVM,CXL Root Ports without active CDA TDISP tag back-invalidate snoops as Non-secure.,cxl_rhhmvm_bisnp_pas_nonsecure,
139,RPTGGP,CMOs targeting CXL Type-3 memory reach all relevant host-side and device-side cache locations.,cxl_rptggp_cmo_to_cxl_mem,
140,RBYTYV,CXL Root Ports either support RME-CDA DVSEC or force/reject protected traffic safely.,cxl_rbytyv_root_port_pas_behavior,
141,RKJYPB,If a CXL RP is not subject to GPC then CXL.cache must be disabled for it using an MSD-protected register.,cxl_rkjypb_cache_disable,
142,RPHWMM,A CXL Root Port that implements the RME-CDA DVSEC must comply with CXL-TSP.,cxl_rphwmm_rme_cda_tsp,
143,RJXPZP,CXL Root Ports map PAS and MECID to CXL TEE attributes and CKIDs correctly.,cxl_rjxpzp_pas_ckid_mapping,
144,RDWRKS,"With CDA TDISP enabled, CXL Root Port and host bridge security registers are RMSD write-protect.",cxl_host_port_rmsd_write_protect,
145,RWNPYD,A programming interface that allows read and write access to RNVS must be in the Root PAS.,Not covered,RNVS controls and reported properties are implementation-defined.
146,RQCHPW,The system supports a method for permanently blocking write access from application PEs to all RNVS parameters.,rme_rnvs_in_root_pas,
147,RLMSSL,The system supports a method for permanently blocking read access from application PEs to RNVS confidential parameters.,Not covered,RNVS controls and reported properties are implementation-defined.
148,RVXBYG,System support for any memory protection property reported in System Properties is immutable and applicable for all DRAM memory controllers in the system.,Not covered,RNVS controls and reported properties are implementation-defined.
149,RZHBBL,The memory-mapped registers of a Root watchdog are in the Root PAS.,"rme_root_wdog_fails_in_non_root_state, rme_root_wdog_from_root_pas",
150,RVXGBP,A Root watchdog is capable of triggering an RME system reset when predefined expiration conditions are met.,rme_root_wdog_fails_in_non_root_state,
151,RQYRGG,MSD and RMSD are provided with a private interface for accessing a True Random Number Generator (TRNG) that meets the certification profile of the system.,rme_all_pe_has_feat_rng_or_rng_trap,
152,RNWQBJ,Tenant-hosted HES is isolated from other tenants in the Trusted subsystem.,Not covered,HES may be implemented in non-A-profile trusted hardware.
153,RHJSSG,The HES implementation exposes a private interface to SSD components such as Trusted subsystems for requesting HES services.,Not covered,HES may be implemented in non-A-profile trusted hardware.
154,RCGDVX,"The HES implementation exposes a programming interface in the Root PAS, shared by all application PEs, allowing MSD and PE Initial boot ROM to request for HES services.",Not covered,HES may be implemented in non-A-profile trusted hardware.
155,RBQPFG,HES has exclusive read and write access to RNVS confidential parameters.,Not covered,HES may be implemented in non-A-profile trusted hardware.
156,RBTWVY,"A measurement register can be either extended using a secure hash algorithm, locked or reset.",Not covered,HES may be implemented in non-A-profile trusted hardware.
157,RDFPJL,"HES has exclusive access to extend, lock, and reliably obtain the value of a measurement register it owns.",Not covered,HES may be implemented in non-A-profile trusted hardware.
158,RFWSRF,"Once locked, a measurement cannot be further extended until it is reset.",Not covered,HES may be implemented in non-A-profile trusted hardware.
159,RWYSLK,An RME system reset is the only method to reset a measurement owned by HES.,Not covered,HES may be implemented in non-A-profile trusted hardware.
160,RXCRMH,"On an RME system reset, HES state is reset to a known value, including all measurements and ephemeral cryptographic context.",Not covered,HES may be implemented in non-A-profile trusted hardware.
161,RVDFYZ,A register that is located outside of the Root PAS but can affect a service provided by MSD must be implemented as a measurable register.,Not covered,Measurable-register selection is implementation-defined.
162,RYLVDB,A measurable register is a write-lockable register that MSD has a trusted method to obtain its value.,Not covered,Measurable-register implementation is platform specific.
163,RGNGMB,Only SSD or MSD are capable of controlling whether recording is performed for error records that might contain confidential information.,Not covered,RAS/error injection behavior is outside generic ACS scope.
164,RGZTVL,Critical Error Interrupts (CI) must be wired to a Trusted subsystem that will respond with an RME system reset.,Not covered,RAS/error injection behavior is outside generic ACS scope.
165,RLWVCX,An uncontainable error results in an RME system reset.,Not covered,RAS/error injection behavior is outside generic ACS scope.
166,RJNBWJ,Only SSD or MSD can enable or disable Critical Error Interrupt generation.,Not covered,RAS/error injection behavior is outside generic ACS scope.
167,RXPCTR,"Where an MPE provides support for integrity, if it detects an integrity error it can perform one of the following responses.",Not covered,RAS/error injection behavior is outside generic ACS scope.
168,RHSVLQ,"Only SSD or MSD must be able to control the abilities of detecting, propagating, and reporting MPE integrity errors.",Not covered,RAS/error injection behavior is outside generic ACS scope.
169,RGZHTD,MPEs pass poison information while preserving encryption and integrity behavior.,Not covered,RAS/error injection behavior is outside generic ACS scope.
170,RRFSYB,RME systems propagate MPAM_SP to all relevant MSCs.,Not covered,MPAM MSC propagation is implementation/platform specific.
171,RJYMQD,Allocation and protection of the address range assigned to an MTE carve-out are controlled by either SSD or MSD.,rme_mte_region_in_root_pas,
172,RHRVJB,A system PMU counter that is accessible in the Secure PAS can only count events that are attributable to the Secure PAS or to the Non-secure PAS.,Not covered,System PMU events and per-PAS controls are implementation-defined.
173,RBSZPN,A system PMU counter that is accessible in the Realm PAS can only count events that are attributable to the Realm PAS or to the Non-secure PAS.,Not covered,System PMU events and per-PAS controls are implementation-defined.
174,RTMSNN,A system PMU counter that is accessible in the Root PAS can count events that are attributable to any PAS.,Not covered,System PMU events and per-PAS controls are implementation-defined.
175,RMMPWY,Non-secure-accessible PMU counters need per-PAS authorization to count PAS-specific events.,Not covered,System PMU events and per-PAS controls are implementation-defined.
176,RPLXZB,Per-PAS PMU authorization is driven by debug authentication or an appropriate PAS/Root register.,Not covered,System PMU events and per-PAS controls are implementation-defined.
177,RCFYKS,An event that is not explicitly associated with a PAS but can leak confidential information is implicitly associated with the Root PAS.,Not covered,System PMU events and per-PAS controls are implementation-defined.
178,RSQMWT,Application PEs in an RME system do not have architectural differences unless this is explicitly permitted by this specification.,rme_pe_do_not_have_arch_diff,
179,RCFYBJ,Implementation-defined PE differences must not weaken the RME security guarantee.,Not covered,Requires platform-specific review of implementation-defined PE properties.
180,RXKBNZ,PE behavior is unpredictable when visible implementation differences are mismatched across PEs.,Not covered,UNPREDICTABLE mismatch conditions cannot be safely induced by generic ACS.
181,RLRQXZ,"A software-initiated power state transition in an RME system at any level of the system hierarchy (PE, PE-cluster, System) is validated by MSD or by a Trusted subsystem.",Not covered,Power-transition validation is platform/firmware policy.
182,RWJVRX,"Save/Restore operations for MSD PE context can only be done by MSD or a Trusted subsystem and use storage that is not accessible from Realm, Secure and Non-secure states.",Not covered,MSD PE context save/restore path is firmware/platform specific.
183,RMVZHF,"Save/Restore operations for RMSD PE context can only be done by RMSD, MSD, or a Trusted subsystem and use storage that is not accessible from Secure and Non-secure states.",Not covered,RMSD PE context save/restore path is firmware/platform specific.
184,RRCLYM,Secure PE context save/restore uses authorized agents and storage hidden from Realm and Non-secure states.,Not covered,Secure PE context save/restore path is firmware/platform specific.
185,RGVJYZ,Power-policy or hardware-mode registers are MPRs or otherwise SSD-constrained.,Not covered,Power-policy registers are implementation-defined.
186,RKYXMR,Any power management operation that can affect MSD state or the RME security guarantee must be validated by MSD or a Trusted subsystem.,Not covered,Power-management validation is platform/firmware policy.
187,RMLJVR,"On an exit from a low power state in which system context is preserved, power control guarantees that MSD state is fully preserved.","rme_pe_context_after_exit_wfi, rme_pe_context_after_pe_suspend",
188,RZNLSZ,"Save/Restore operations for MSD state can only be done by MSD or a Trusted subsystem and use on-chip storage that is not accessible from Realm PAS, Secure PAS or Non-secure PAS.",rme_msd_save_restore_mem_in_root_pas,
189,RDQTSG,An MPE or a PAS filter in a non-ACTIVE mode in which context is not fully retained blocks its operation and does not service requests until it is in ACTIVE mode again.,rme_pas_filter_in_inactive_mode,
190,RJDBCS,"An MMU-attached PAS filter in a non-ACTIVE mode either continues to respond to GPT cache invalidations, or invalidates any cached state when moving back to ACTIVE mode.",smmu_responds_to_gpt_tlb,
191,RQSXBZ,RMSD external debugging and Root external debugging are disabled by default on a Secured Arm CCA system.,Not covered,External debug requires a common debugger/test interface unavailable to ACS.
192,RHLTLK,RMSD external debugging can only be authorized following an RME system reset and before RMSD firmware is loaded and cannot change state until a subsequent RME system reset.,Not covered,External debug requires a common debugger/test interface unavailable to ACS.
193,RXVNFV,Root external debugging can only be authorized following an RME system reset and before MSD firmware is loaded and cannot change state until a subsequent RME system reset.,Not covered,External debug requires a common debugger/test interface unavailable to ACS.
194,RGTPGZ,"When Root external debugging is enabled, the RNVS confidential parameters are either inaccessible, scrubbed, or populated with debug values.",Not covered,External debug requires a common debugger/test interface unavailable to ACS.
195,RRHGKX,"Access to a Secured Arm CCA system through an external debug or test interface, including debug access ports, JTAG ports, and scan interfaces is disabled by default.",Not covered,External debug requires a common debugger/test interface unavailable to ACS.
196,RQLPNL,External debug power-up requests are permitted only through trusted power control.,Not covered,External debug requires a common debugger/test interface unavailable to ACS.
197,RHJHRL,RME system reset resets Trusted requesters/subsystems and clears confidential state by trusted mechanisms.,Not covered,Full trusted-state reset coverage is platform specific.
198,RKKSQB,"An RME system reset propagates to PEs as either a Cold reset, Warm reset, or Error recovery reset.",rme_system_reset_propagation_to_all_pe,
199,RHLKZP,An RME system reset might propagate to any component that implements RAS [12] as an Error recovery reset.,Not covered,RAS error-recovery reset propagation is implementation-specific.
